,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
413,100.00000100027822,13.600911076939184,23.26252509588531,56.12373394350612,3358.7725625139174,9685.780639266735,21698.40519967001,30.0,501.2702883297086,21152.28531885705,36451.06917818523,2.1159335767179903,19440.570228365457,225.0,2260.267899195953,-0.0
438,100.00000100029185,11.91946929567392,22.16860568570209,44.1409685144726,2936.4830159453422,7438.96413936872,18309.138453792446,30.0,438.2469073691901,17825.698431126624,38105.79668055497,2.524026362017809,16089.114154012099,225.0,2362.8746961938687,-0.0
389,100.00000100031671,15.557978925266758,24.405600015948824,71.79249935631235,3853.6644401487993,12673.745573444074,25396.60699384454,30.0,575.1289940255756,24777.009247888236,34658.24643737269,1.7587866744182847,23105.497624915126,225.0,2149.0980547615345,-0.0
350,100.0000010003355,17.489554052474467,22.5014718841185,91.03080147464898,4345.946923736063,16016.0751776379,16976.084775666674,30.0,648.5982682603146,16283.597383215914,32013.84802725014,1.4451698845981509,14939.795746050066,225.0,1985.123472565688,-0.0
412,100.00000100034237,13.876003389657184,22.786482270192725,57.058739528907374,3428.1106315959196,10081.552618648368,21374.128068938247,30.0,511.61844773438884,20817.475809975112,37334.010425406464,2.1242225119459275,19081.827550763304,225.0,2315.0175623187165,-0.0
437,100.00000100037091,12.253736495334365,21.573308924096295,45.20458813884956,3020.2297081848806,7862.0481757248235,18004.921658308238,30.0,450.7454400278445,17508.730459237606,39345.48304094018,2.5350475181270613,15738.19321637607,225.0,2439.7455081789026,-0.0
388,100.00000100038106,15.780797390695827,24.02573059745635,72.59131364493275,3910.25236672132,13039.367169476163,25050.2273836777,30.0,583.5742953197355,24422.051763798,35277.36304015181,1.7649277451267267,22734.30062587561,225.0,2187.4884069424347,-0.0
374,100.00000100038466,15.821905179818094,20.432932793062175,72.73776601373307,3920.6978553162976,13107.388789410887,13893.050626243401,30.0,585.1332020281523,13263.264545161197,35519.558560089354,1.772427754861985,11839.852853363118,225.0,2202.50653319733,-0.0
329,100.00000100042452,19.659042115603803,24.8346002806706,116.1274627176111,4903.739131387485,20235.937658266423,21448.88740792303,30.0,731.8443516295974,20673.825751943827,29076.33002975235,1.16771536965559,19384.2200198349,225.0,1802.9730505685134,-0.0
411,100.00000100043171,14.161082350247211,22.305899887160475,58.01664114550787,3500.04229253909,10500.053775736988,21032.492805236743,30.0,522.3536802486233,20464.914471216234,38259.5001514061,2.1330576997834654,18704.644518465204,225.0,2372.405583188199,-0.0
